"origin","props","mean.wait"
"123","GJT",0.229283659772634,2.6212162717436
"124","EKO",0.213001996893721,-0.0130907477257599
"125","BRW",0.383108935128519,7.61958384332925
"126","PIT",0.46709461597577,6.15868179557886
"127","ABR",0.194373401534527,-1.17647058823529
"128","IAD",0.345072533198659,6.57442470211476
"129","GCC",0.215058611361587,1.67132551848512
"130","MLB",0.255413598960589,4.1966760502382
"131","EWR",0.384696977062168,8.32049148758755
"132","BOS",0.365833308071294,6.34006314066337
"133","BIL",0.226914118265835,1.71376512134646
"134","AVP",0.308030158846351,4.03594173193763
"135","BTV",0.314058621912303,5.62554662569436
"136","PVD",0.32753140493354,4.5673723271588
"137","SUX",0.177260331445353,3.45248584015104
"138","PFN",0.337799431587495,8.55000676681554
"139","BQN",0.217721518987342,0.779746835443038
