origin,props,mean.wait
PHF,0.396315569,12.73903942
LWB,0.396997498,10.39532944
TRI,0.371160355,7.250271409
AMA,0.319934741,7.081384626
ACT,0.218491124,3.842751479
SAN,0.409820576,7.062148804
BTM,0.215514959,0.199364575
IPL,0.25142315,-0.465844402
SJC,0.362810615,5.715691098
PNS,0.392209549,7.933407242
EFD,0.122666667,-2.284
HOU,0.454172682,10.60706338
LAX,0.456158742,8.488065
BTR,0.384940258,9.036609436
SBP,0.284451441,7.13629208
OXR,0.203546361,-0.412264499
ABQ,0.38256248,7.519552932
TVL,0.342068966,2.588965517
TYS,0.342665359,8.026864771
MOB,0.397585897,7.914791678
ILM,0.395924829,8.172964968
TOL,0.342374447,5.363228404
GFK,0.147983769,1.37826528
TTN,0.362612613,7.929054054
BIS,0.231249264,2.590604027
MSP,0.40278376,8.912721598
MTJ,0.276810266,4.602352582
SJU,0.387819149,9.439268617
ORF,0.435871893,9.70007138
MLI,0.284113527,7.463730188
RAP,0.281932956,5.09965172
MKK,0.095890411,-3.246575342
PDX,0.382974561,6.623858516
ROW,0.292540793,5.59965035
ALO,0.218707015,5.778541953
EUG,0.333885444,6.79399869
AUS,0.344513907,6.760755727
SCC,0.334338106,9.253453906
FLO,0.378241619,13.53636939
EVV,0.326525903,7.449290412
FLL,0.421342113,10.41241837
SUN,0.227139969,0.509099079
ICT,0.286474494,6.837957758
CSG,0.394954264,9.908527589
CDV,0.368952461,10.28123685
PVU,0,0
IAH,0.459848813,9.681733804
SWF,0.352658983,7.267419411
APF,0.315245478,9.255813953
MCO,0.426534698,10.53349028
MKE,0.336868914,7.416245693
IDA,0.23454142,0.906508876
FSD,0.26331775,5.369204657
HSV,0.30292201,6.969442162
MOD,0.409784654,13.14781518
SHV,0.339882071,7.389705693
ASE,0.296950241,6.811697432
AGS,0.40061074,11.28474303
MTH,0.571428571,50
BRO,0.261265294,4.863324381
MDT,0.302069599,7.070438292
ONT,0.34429947,5.808520363
OKC,0.334022404,6.809668911
WRG,0.410869565,12.2523913
JLN,0.273480663,12.96132597
BLI,0.312572088,3.112648981
MBS,0.2356466,4.655100334
OTZ,0.398499434,9.022508494
OAJ,0.413043478,9.742990654
HRL,0.287724225,5.983064932
GUC,0.296178344,7.549893843
ISP,0.418098985,9.55191551
MOT,0.226356589,2.719896641
ROC,0.380078077,9.037737104
LGA,0.415514902,10.9354496
CLL,0.208728943,4.316232772
