origin,props
BTR,0.360610697
SBP,0.244432071
OXR,0.211440245
ABQ,0.335238095
TVL,0.274822695
TYS,0.299552176
MOB,0.362051366
ILM,0.332239541
TOL,0.295307209
GFK,0.109178744
TTN,0.362252664
BIS,0.171608773
SJU,0.316734531
MSP,0.302968901
MTJ,0.214285714
ORF,0.372106502
MLI,0.229018813
RAP,0.190732845
MKK,0.101694915
PDX,0.297147722
ALO,0.211576846
ROW,0.289308176
EUG,0.2580174
AUS,0.316529546
SCC,0.235268817
FLO,0.300291545
EVV,0.277518979
FLL,0.406057056
SUN,0.12917232
ICT,0.249884793
CSG,0.331069238
CDV,0.233980583
IAH,0.407960665
APF,0.257748777
SWF,0.284664509
MCO,0.38090286
MKE,0.270353779
FSD,0.213523625
IDA,0.162735849
HSV,0.263904654
MOD,0.364525595
SHD,0.666666667
AGS,0.354686843
SHV,0.291545529
ASE,0.263018242
MTH,0.275362319
BRO,0.199443414
MDT,0.257855087
ONT,0.316203701
OKC,0.302177311
WRG,0.22535668
JLN,0.228813559
BLI,0.247455471
MBS,0.182577815
OTZ,0.313764184
OAJ,0.355358837
HRL,0.276683123
GUC,0.179839633
ISP,0.330810811
MOT,0.153272296
ROC,0.344014065
LGA,0.366530605
CLL,0.173311823
