"origin","props","mean.wait"
"122","DRT",0.207792207792208,1.33766233766234
"123","CIU",0.232307692307692,4.10923076923077
"124","LBB",0.302263648468708,6.11700945501921
"125","RDM",0.280073359824381,5.31744796732153
"126","VLD",0.304750964142119,10.1296463444654
"127","CEC",0.400331919601696,19.1933431679882
"128","RHI",0.285714285714286,3.20388349514563
"129","CMH",0.354450594811136,7.59555549540527
"130","MDW",0.458834205350566,11.033109443858
"131","FAI",0.282372731000661,4.84578754885305
"132","DAY",0.397689900972902,6.699028926517
"133","PSE",0.199282403946778,1.15263866048737
"134","ISO",0.409546869595296,5.7409200968523
"135","DHN",0.307829181494662,10.8854685646501
"136","CMX",0.255781554750627,8.61075508498189
"137","CVG",0.430096249476801,7.70208454133179
"138","MYR",0.318829066788473,5.65704128850317
"139","PSG",0.39612188365651,11.2629882978122
