origin,props,mean.wait
MHK,0.276104418,8.951807229
MCI,0.340268362,6.252821989
MSN,0.223618244,4.674247982
ABI,0.212664065,4.554629301
ADQ,0.273500236,1.609352858
SCE,0.125,-0.286875
SLC,0.322278421,3.818014654
GJT,0.213660073,2.56903848
EKO,0.180761782,-0.140090381
BRW,0.365073529,6.987132353
PIT,0.464770467,6.479955073
ABR,0.147679325,-1.156118143
IAD,0.371487696,8.377374884
GCC,0.21230982,0.229598893
MLB,0.268037082,3.931801693
EWR,0.416858867,10.64484988
BOS,0.376337461,7.352816235
BIL,0.190412561,0.765324871
AVP,0.305763874,4.698414399
BTV,0.306117818,5.988653899
PVD,0.335764223,5.799353051
SUX,0.148882594,2.519357885
PFN,0.319928187,8.262657092
BQN,0.244544771,1.77351392
RNO,0.297062275,4.990561969
DTW,0.363098983,7.291527239
BGR,0.27706575,5.471084714
KSM,0.26984127,8.428571429
TUL,0.295860085,5.950688197
XNA,0.29227934,9.083715641
DLG,0.286723164,4.351694915
BPT,0.190092879,4.302786378
DRT,0.066666667,-1.4
CIU,0.245454545,4.118181818
LBB,0.290871452,6.058843547
RDM,0.220212413,2.380683704
VLD,0.260451706,8.256126862
SAT,0.322996634,6.018005473
CEC,0.346325167,13.04120267
RHI,0.237373737,1.934343434
MDW,0.423915075,9.774376705
CMH,0.322626396,6.372536572
LIT,0.316005312,6.833248201
FAI,0.207060816,1.850314931
VPS,0.286426151,7.61072354
DAY,0.35309754,5.283447649
FAT,0.267280677,3.85874655
PSE,0.150809717,-1.76417004
HIB,0.097087379,-6.67961165
ISO,0.337006428,5.137741047
LCH,0.180463576,3.488410596
DHN,0.267596056,8.248214893
CMX,0.189349112,4.51183432
HOB,0.180412371,1.886597938
DEN,0.416266195,7.80337564
CVG,0.387360829,6.142326157
PSP,0.299893973,5.203273251
MYR,0.328937851,5.123629889
PSG,0.275577558,4.516171617
ACY,0.278745645,2.342624855
ANI,0.208955224,8.552238806
DAL,0.413243078,9.169470863
TVC,0.248730268,6.701304049
FWA,0.245993114,4.701768966
TUP,0.211453744,4.162995595
RFD,0.173076923,-1.395604396
KTN,0.233688483,3.013495687
MMH,0.445544554,16.1980198
ALB,0.325278486,5.098142264
ELM,0.24454325,1.468674212
AZA,0.166666667,-3.333333333
AKN,0.329223181,6.882860666
ECP,0.324890557,8.213883677
SJT,0.20669746,2.768187067
BZN,0.191614032,1.166730081
GNV,0.325180585,6.592827272
DLH,0.182626897,1.809000523
GSP,0.301565344,5.15854872
OTH,0.422382671,18.78820698
IND,0.323868949,5.425347275
ROP,0.079452055,-4.767123288
ILG,0.268518519,5.916666667
ROR,0.346774194,6.287634409
DSM,0.247058074,4.96665109
CLT,0.471861538,7.696309387
GRK,0.281125885,7.185632879
CMI,0.22674854,6.052868055
PIE,0.201588878,1.230387289
BQK,0.233550979,6.347061778
CCR,0.193498452,1.047987616
DAB,0.360120482,5.57313253
SRQ,0.319115735,4.35018061
FSM,0.215889085,3.042473592
LNK,0.28687946,6.098188377
JNU,0.311883339,6.193236115
ADK,0.459459459,7.281081081
GRI,0.288990826,10.83027523
SGU,0.228965517,0.681576355
ISN,0.273504274,4.415954416
LEX,0.332421198,5.962937305
PIH,0.101683029,-3.970546985
GLH,0,-5.5
MEI,0.289700997,10.43787375
LFT,0.263982103,6.037844892
AZO,0.206054688,2.150553385
GCN,0.272991288,4.348499516
BFL,0.217929562,2.924332978
TEX,0.160714286,-1.410714286
GST,1,50
MSY,0.348242317,6.544306799
YKM,0.196078431,-0.388235294
FCA,0.139345597,-1.462965978
LSE,0.171466184,1.915089682
SEA,0.33920516,5.567469164
MIA,0.402764652,8.560284585
RKS,0.242261905,-0.780952381
PHL,0.456585875,8.997590663
COD,0.161094225,-1.466261398
SLE,0.228070175,-1.570175439
SMX,0.212920237,0.557679631
CYS,0.532258065,16.67741935
EYW,0.354005168,6.548880276
ABE,0.267216674,6.195614416
DUT,0.409535452,8.460880196
YAP,0.391608392,25.84615385
MEM,0.311344318,5.512523377
TWF,0.126506024,-2.354082999
TXK,0.184219921,2.245983577
CHO,0.258934444,3.627493971
RDU,0.370855981,6.365463937
AEX,0.235642498,6.067480258
EGE,0.205753291,4.049731838
UCA,0.467635403,4.435931308
LAW,0.159296896,1.27739632
VIS,0.113207547,-0.254716981
DFW,0.467786664,9.127804596
PPG,0.777777778,158.0555556
PUB,0.08348135,0.964476021
TYR,0.184744268,1.673500882
RSW,0.341009278,5.580156598
ACK,0.378378378,9.738738739
SAF,0.331355094,9.160237389
DCA,0.349003958,5.136368654
MKC,1,8
HLN,0.193506494,-0.393135436
BJI,0.111587983,0.184549356
CRW,0.359618131,6.326993911
HVN,0.384916748,5.619980411
LYH,0.28808124,5.311598076
GCK,0.226495726,7.786324786
GRR,0.250869189,4.221527764
BGM,0.27607362,1.994274029
YAK,0.226610554,3.493363548
PHX,0.401254681,7.180919125
FAY,0.266470707,5.016014596
BOI,0.232404045,3.645947443
LIH,0.19097611,-0.22256439
SBA,0.265352033,4.834405427
GGG,0.174154701,2.315423807
GUM,0.241064337,1.778792693
VCT,0.132478632,0.882478632
LRD,0.2514174,5.341935484
DBQ,0.23255814,5.737541528
CHS,0.378822762,7.119842709
TPA,0.358576816,6.315447849
COU,0.385269122,8.634560907
BHM,0.349889344,6.367195153
ITH,0.262812872,1.09624553
MRY,0.289761589,4.833870866
ITO,0.173425872,-1.217827578
EAU,0.201783724,4.217391304
OAK,0.382420681,5.90107364
PHF,0.299486221,6.691265764
LWB,0.308943089,4.613821138
TRI,0.298517855,3.761862131
AMA,0.29484313,6.164803462
ACT,0.178136704,2.065308989
SAN,0.360784844,5.61192621
BTM,0.169528842,0.001321004
IPL,0.249006623,0.005960265
SJC,0.326587056,4.635964628
PNS,0.340328951,5.507044744
EFD,0.084148728,-3.072407045
HOU,0.41180905,9.341824583
LAX,0.401613743,6.480141636
BTR,0.360610697,8.06060133
SBP,0.244432071,4.72735709
OXR,0.211440245,0.5
ABQ,0.335238095,5.887763547
TVL,0.274822695,5.361702128
TYS,0.299552176,5.904860755
MOB,0.362051366,6.055163121
ILM,0.332239541,4.40533224
TOL,0.295307209,4.249733914
GFK,0.109178744,-0.876908213
TTN,0.362252664,7.453576865
BIS,0.171608773,0.712698861
MSP,0.302968901,5.205123264
MTJ,0.214285714,1.92369338
SJU,0.316734531,5.783886743
ORF,0.372106502,6.363533176
MLI,0.229018813,5.088768728
RAP,0.190732845,2.29289679
MKK,0.101694915,0.593220339
PDX,0.297147722,4.420721467
ROW,0.289308176,8.368373765
ALO,0.211576846,6.698602794
EUG,0.2580174,4.60824284
AUS,0.316529546,6.100673898
SCC,0.235268817,3.741505376
FLO,0.300291545,8.132167153
EVV,0.277518979,4.952726018
FLL,0.406057056,8.118349084
SUN,0.12917232,-1.992944369
ICT,0.249884793,5.266313364
CSG,0.331069238,6.245617879
CDV,0.233980583,3.933980583
IAH,0.407960665,7.29978079
SWF,0.284664509,3.890035867
APF,0.257748777,5.649265905
MCO,0.38090286,6.884392462
MKE,0.270353779,4.79530236
IDA,0.162735849,-0.793694141
FSD,0.213523625,3.893630779
HSV,0.263904654,4.556484856
MOD,0.364525595,9.103032279
SHD,0.666666667,-0.666666667
SHV,0.291545529,5.134821879
ASE,0.263018242,4.448092869
AGS,0.354686843,7.133501471
MTH,0.275362319,6.869565217
BRO,0.199443414,2.672773655
MDT,0.257855087,4.559717033
ONT,0.316203701,4.859964399
OKC,0.302177311,5.808609116
WRG,0.22535668,2.710440986
JLN,0.228813559,6.593220339
BLI,0.247455471,0.307888041
MBS,0.182577815,2.470858575
OTZ,0.313764184,5.585841145
OAJ,0.355358837,6.513120455
HRL,0.276683123,5.926951811
GUC,0.179839633,1.487972509
ISP,0.330810811,6.160617761
MOT,0.153272296,0.540861309
ROC,0.344014065,5.976450405
LGA,0.366530605,7.277396742
CLL,0.173311823,1.919797188
