"origin","props","mean.wait","n.01","n.02","n.05"
"SBN",0.331786793,7.007289119,8517,2130,341
"SBP",0.270226894,6.84927778,7576,1894,304
"SCC",0.295134838,6.710903726,7992,1998,320
"SCE",0.166116612,2.076457646,5322,1331,213
"SCK",0.207432058,4.69412091,6316,1579,253
"SDF",0.35827855,7.201962927,8833,2209,354
"SEA",0.399399732,7.771626665,9216,2304,369
"SFO",0.443773395,10.29232728,9483,2371,380
"SGF",0.277177223,8.370686155,7697,1925,308
"SGU",0.260962424,2.354234799,7409,1853,297
"SHD",0.533333333,13.61666667,9562,2391,383
"SHV",0.309999027,5.884967405,8218,2055,329
"SIT",0.328101926,8.166642537,8469,2118,339
"SJC",0.352757753,5.868554887,8772,2193,351
"SJT",0.20691556,2.522575796,6305,1577,253
"SJU",0.351424502,7.61617011,8756,2189,351
"SLC",0.397010862,6.192603346,9197,2300,368
"SLE",0.289772727,2.348863636,7907,1977,317
"SMF",0.381307702,7.091031765,9063,2266,363
"SMX",0.227031851,1.749762927,6742,1686,270
"SNA",0.379041711,5.823034735,9042,2261,362
"SOP",0.573289902,25.24104235,9398,2350,376
"SPI",0.26742889,9.629531511,7527,1882,302
"SPN",0.223363545,2.472406848,6665,1667,267
"SPS",0.192479413,2.72616331,5972,1493,239
"SRQ",0.32520151,5.662681777,8431,2108,338
"STL",0.398893221,8.463730478,9212,2303,369
"STT",0.306378464,6.101524997,8164,2041,327
"STX",0.278862883,4.397498605,7726,1932,310
"SUN",0.221455739,0.999105079,6624,1656,265
"SUX",0.200820966,3.78275971,6166,1542,247
"SWF",0.319961722,5.442806649,8359,2090,335
"SYR",0.397334493,6.669252165,9200,2300,368
"TEX",0.277294686,6.739130435,7699,1925,308
"TLH",0.390411068,6.940013644,9143,2286,366
"TOL",0.334197454,5.204596009,8548,2137,342
"TPA",0.36700029,7.299443002,8925,2232,357
"TRI",0.335228476,6.83103364,8562,2141,343
"TTN",0.398566308,9.444802867,9209,2303,369
"TUL",0.310094792,6.359589126,8219,2055,329
"TUP",0.284874399,8.599679316,7827,1957,314
"TUS",0.319602171,5.138802837,8354,2089,335
"TVC",0.303362032,8.09901048,8119,2030,325
"TVL",0.334744383,4.29697167,8555,2139,343
"TWF",0.226658116,2.170327615,6734,1684,270
"TXK",0.180648636,2.573420297,5687,1422,228
"TYR",0.189209672,2.39238542,5894,1474,236
"TYS",0.314552053,6.313796648,8283,2071,332
"UCA",0.466505601,4.693388974,9561,2391,383
"UTM",0.362745098,3.632352941,8881,2221,356
"VCT",0.172530733,2.408647732,5485,1372,220
"VIS",0.138286334,0.140997831,4578,1145,184
"VLD",0.304750964,10.12964634,8140,2035,326
"VPS",0.2806382,7.630384955,7756,1939,311
"WRG",0.331897757,8.793724481,8519,2130,341
"WYS",0.138247283,-2.715353261,4577,1145,184
"XNA",0.304413192,9.878950704,8135,2034,326
"YAK",0.295602294,6.475880907,8000,2000,320
"YAP",0.463623395,19.09985735,9554,2389,383
"YKM",0.31667572,3.558392178,8313,2079,333
"YUM",0.242761975,2.866764609,7062,1766,283
