"origin","props","mean.wait","n.01","n.02","n.05","flights.num"
"PAH",0.260029176,5.776440554,7392,1848,296,2839
"PBI",0.401047687,7.938198844,9228,2307,370,654573
"PDX",0.352724555,6.312311287,8771,2193,351,1319688
"PFN",0.357909549,10.69222462,8829,2208,354,31281
"PHF",0.320777719,8.467631521,8371,2093,335,65252
"PHL",0.476699008,10.34038926,9584,2396,384,2592651
"PHX",0.423852888,8.436500475,9382,2346,376,4404913
"PIA",0.276633042,7.206562445,7688,1922,308,65286
"PIE",0.193741371,1.270593649,6001,1501,241,6587
"PIH",0.163615833,-0.761678355,5258,1315,211,17091
"PIT",0.504630214,8.156486434,9604,2401,385,2242405
"PMD",0.187462327,5.762206148,5852,1463,235,3370
"PNS",0.349003342,6.136106112,8729,2183,350,206301
"PSC",0.274227645,2.424433483,7646,1912,306,54679
"PSE",0.199282404,1.15263866,6130,1533,246,6790
"PSG",0.396121884,11.2629883,9190,2298,368,18598
"PSP",0.313182083,6.386868179,8264,2066,331,203449
"PUB",0.136633076,1.986662715,4532,1133,182,6843
"PVD",0.358111754,6.866331147,8831,2208,354,526196
"PWM",0.347020177,7.852732323,8705,2177,349,194279
"RAP",0.237304459,3.569444806,6953,1739,279,78384
"RDD",0.346577665,12.06521509,8700,2175,348,19430
"RDM",0.28007336,5.317447967,7746,1937,310,36431
"RDU",0.383428002,7.319205551,9082,2271,364,1273779
"RIC",0.349387321,6.937158615,8733,2184,350,444737
"RKS",0.2754935,2.43350987,7668,1917,307,10699
"RNO",0.359085314,7.322753028,8842,2211,354,607733
"ROA",0.388541616,7.489723695,9127,2282,366,85268
"ROC",0.375976701,7.459337157,9014,2254,361,425320
"ROW",0.280801435,5.545155502,7759,1940,311,6822
"RST",0.198482169,3.200589449,6112,1528,245,70724
"RSW",0.34726182,6.52500752,8708,2177,349,533514
"SAF",0.342957865,8.164512338,8657,2165,347,6073
"SAN",0.386574733,6.920795229,9110,2278,365,1938636
"SAT",0.328341371,5.981435375,8473,2119,339,1004129
"SAV",0.341306129,7.442720959,8637,2160,346,236545
"SBA",0.298142689,6.777890437,8039,2010,322,174075
"SBN",0.331786793,7.007289119,8517,2130,341,86180
"SBP",0.270226894,6.84927778,7576,1894,304,64906
"SCC",0.295134838,6.710903726,7992,1998,320,15135
"SCE",0.166116612,2.076457646,5322,1331,213,9368
"SCK",0.207432058,4.69412091,6316,1579,253,3717
"SDF",0.35827855,7.201962927,8833,2209,354,547838
"SEA",0.399399732,7.771626665,9216,2304,369,2487038
"SFO",0.443773395,10.29232728,9483,2371,380,3495937
"SGF",0.277177223,8.370686155,7697,1925,308,121610
"SGU",0.260962424,2.354234799,7409,1853,297,30217
"SHV",0.309999027,5.884967405,8218,2055,329,157539
"SIT",0.328101926,8.166642537,8469,2118,339,35038
"SJC",0.352757753,5.868554887,8772,2193,351,1319344
"SJT",0.20691556,2.522575796,6305,1577,253,20511
"SJU",0.351424502,7.61617011,8756,2189,351,577693
"SLC",0.397010862,6.192603346,9197,2300,368,2602021
"SMF",0.381307702,7.091031765,9063,2266,363,1035683
"SMX",0.227031851,1.749762927,6742,1686,270,18364
"SNA",0.379041711,5.823034735,9042,2261,362,1030496
"SPI",0.26742889,9.629531511,7527,1882,302,15134
"SPN",0.223363545,2.472406848,6665,1667,267,10203
"SPS",0.192479413,2.72616331,5972,1493,239,20965
"SRQ",0.32520151,5.662681777,8431,2108,338,193375
"STL",0.398893221,8.463730478,9212,2303,369,2995864
"STT",0.306378464,6.101524997,8164,2041,327,76452
"STX",0.278862883,4.397498605,7726,1932,310,30954
"SUN",0.221455739,0.999105079,6624,1656,265,28720
"SUX",0.200820966,3.78275971,6166,1542,247,19434
"SWF",0.319961722,5.442806649,8359,2090,335,66223
"SYR",0.397334493,6.669252165,9200,2300,368,380541
"TLH",0.390411068,6.940013644,9143,2286,366,128301
"TOL",0.334197454,5.204596009,8548,2137,342,61519
"TPA",0.36700029,7.299443002,8925,2232,357,1662431
"TRI",0.335228476,6.83103364,8562,2141,343,63060
"TTN",0.398566308,9.444802867,9209,2303,369,2876
"TUL",0.310094792,6.359589126,8219,2055,329,569672
